nodeid	level_1	level_2	level_3	level_4	level_5
1	Arts & Photography	N/A	N/A	N/A	N/A
173508	Arts & Photography	Architecture	N/A	N/A	N/A
266162	Arts & Photography	Architecture	Buildings	N/A	N/A
720870	Arts & Photography	Architecture	Buildings	General	N/A
3564986011	Arts & Photography	Architecture	Buildings	Landmarks & Monuments	N/A
882340	Arts & Photography	Architecture	Buildings	Religious Buildings	N/A
1007	Arts & Photography	Architecture	Buildings	Residential	N/A
1002	Arts & Photography	Architecture	Criticism	N/A	N/A
4539344011	Arts & Photography	Architecture	Decoration & Ornament	N/A	N/A
266160	Arts & Photography	Architecture	Drafting & Presentation	N/A	N/A
1005	Arts & Photography	Architecture	General	N/A	N/A
872404	Arts & Photography	Architecture	Historic Preservation	N/A	N/A
15762881	Arts & Photography	Architecture	History	N/A	N/A
3564987011	Arts & Photography	Architecture	History	Baroque & Rococo	N/A
15762891	Arts & Photography	Architecture	History	General	N/A
3564988011	Arts & Photography	Architecture	History	Modern & Contemporary	N/A
8929882011	Arts & Photography	Architecture	History	Modern & Contemporary	Contemporary
8929883011	Arts & Photography	Architecture	History	Modern & Contemporary	Modern
3564989011	Arts & Photography	Architecture	History	Prehistoric & Primitive	N/A
3564990011	Arts & Photography	Architecture	History	Romanticism	N/A
1008	Arts & Photography	Architecture	Individual Architects & Firms	N/A	N/A
7921642011	Arts & Photography	Architecture	Individual Architects & Firms	Essays	N/A
1019	Arts & Photography	Architecture	Individual Architects & Firms	General	N/A
7921643011	Arts & Photography	Architecture	Individual Architects & Firms	Monographs	N/A
4539346011	Arts & Photography	Architecture	Interior Design	N/A	N/A
1057	Arts & Photography	Architecture	Landscape	N/A	N/A
1059	Arts & Photography	Architecture	Project Planning & Management	N/A	N/A
8929884011	Arts & Photography	Architecture	Project Planning & Management	Professional Management	N/A
8929885011	Arts & Photography	Architecture	Project Planning & Management	Project Management	N/A
1048	Arts & Photography	Architecture	Regional	N/A	N/A
7743006011	Arts & Photography	Architecture	Security Design	N/A	N/A
4539347011	Arts & Photography	Architecture	Sustainability & Green Design	N/A	N/A
720868	Arts & Photography	Architecture	Urban & Land Use Planning	N/A	N/A
8929886011	Arts & Photography	Architecture	Urban & Land Use Planning	Adaptive Reuse	N/A
8929887011	Arts & Photography	Architecture	Urban & Land Use Planning	Land Use Planning	N/A
13922567011	Arts & Photography	Architecture	Vernacular	N/A	N/A
1835	Arts & Photography	Business of Art	N/A	N/A	N/A
1525	Arts & Photography	Collections, Catalogs & Exhibitions	N/A	N/A	N/A
8622763011	Arts & Photography	Collections, Catalogs & Exhibitions	General	N/A	N/A
8622764011	Arts & Photography	Collections, Catalogs & Exhibitions	Group Shows	N/A	N/A
8622765011	Arts & Photography	Collections, Catalogs & Exhibitions	Permanent Collections	N/A	N/A
336832011	Arts & Photography	Decorative Arts & Design	N/A	N/A	N/A
1851	Arts & Photography	Decorative Arts & Design	Decorative Arts	N/A	N/A
3564963011	Arts & Photography	Decorative Arts & Design	Design History & Criticism	N/A	N/A
1852	Arts & Photography	Decorative Arts & Design	Furniture Design	N/A	N/A
3564966011	Arts & Photography	Decorative Arts & Design	Industrial & Product Design	N/A	N/A
8298052011	Arts & Photography	Decorative Arts & Design	Industrial & Product Design	Industrial	N/A
8298053011	Arts & Photography	Decorative Arts & Design	Industrial & Product Design	Product	N/A
5824912011	Arts & Photography	Decorative Arts & Design	Interior & Home Design	N/A	N/A
5399	Arts & Photography	Decorative Arts & Design	Interior & Home Design	Decoration & Ornament	N/A
13922573011	Arts & Photography	Decorative Arts & Design	Jewelry Design	N/A	N/A
1854	Arts & Photography	Decorative Arts & Design	Textile & Costume	N/A	N/A
1855	Arts & Photography	Drawing	N/A	N/A	N/A
1839	Arts & Photography	Drawing	Cartooning	N/A	N/A
14292115011	Arts & Photography	Drawing	Cartooning	Anime & Cartoons	N/A
14292116011	Arts & Photography	Drawing	Cartooning	Comics	N/A
14292117011	Arts & Photography	Drawing	Cartooning	General	N/A
14292118011	Arts & Photography	Drawing	Cartooning	Manga	N/A
520992	Arts & Photography	Drawing	Colored Pencil	N/A	N/A
11357541011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	N/A	N/A
14279703011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Animals	N/A
14279705011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Cities & Architecture	N/A
14279709011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Comics & Manga	N/A
14279714011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Fantasy & Science Fiction	N/A
14279716011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Fashion	N/A
14279719011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Flowers & Landscapes	N/A
14279722011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	General	N/A
14279726011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Humorous	N/A
14279728011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Mandalas & Patterns	N/A
14279732011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Religious & Inspirational	N/A
14279733011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Science & Anatomy	N/A
520994	Arts & Photography	Drawing	Figure Drawing	N/A	N/A
1857	Arts & Photography	Drawing	General	N/A	N/A
1858	Arts & Photography	Drawing	Pastel	N/A	N/A
1859	Arts & Photography	Drawing	Pen & Ink	N/A	N/A
1860	Arts & Photography	Drawing	Pencil	N/A	N/A
1861	Arts & Photography	Drawing	Specific Objects	N/A	N/A
1862	Arts & Photography	Fashion	N/A	N/A	N/A
2030	Arts & Photography	Fashion	Fashion Photography	N/A	N/A
1829	Arts & Photography	Graphic Design	N/A	N/A	N/A
1878	Arts & Photography	Graphic Design	Airbrush	N/A	N/A
170107	Arts & Photography	Graphic Design	Animation	N/A	N/A
1840	Arts & Photography	Graphic Design	Clip Art	N/A	N/A
1841	Arts & Photography	Graphic Design	Commercial	N/A	N/A
1842	Arts & Photography	Graphic Design	Commercial	Advertising	N/A
1843	Arts & Photography	Graphic Design	Commercial	Annuals	N/A
3564964011	Arts & Photography	Graphic Design	Commercial	Book Design	N/A
3564965011	Arts & Photography	Graphic Design	Commercial	Branding & Logo Design	N/A
1844	Arts & Photography	Graphic Design	Commercial	Fashion Design	N/A
1846	Arts & Photography	Graphic Design	Commercial	Illustration	N/A
1847	Arts & Photography	Graphic Design	Commercial	Science Illustration	N/A
1867	Arts & Photography	Graphic Design	Lithography	N/A	N/A
1872	Arts & Photography	Graphic Design	Printmaking	N/A	N/A
1863	Arts & Photography	Graphic Design	Techniques	N/A	N/A
1865	Arts & Photography	Graphic Design	Techniques	Use of Color	N/A
1875	Arts & Photography	Graphic Design	Typography	N/A	N/A
1064	Arts & Photography	History & Criticism	N/A	N/A	N/A
10825731	Arts & Photography	History & Criticism	Criticism	N/A	N/A
713036011	Arts & Photography	History & Criticism	History	N/A	N/A
197504011	Arts & Photography	History & Criticism	Themes	N/A	N/A
5824913011	Arts & Photography	History & Criticism	Themes	Erotica	N/A
5824916011	Arts & Photography	History & Criticism	Themes	General	N/A
5824914011	Arts & Photography	History & Criticism	Themes	Human Figure	N/A
5824915011	Arts & Photography	History & Criticism	Themes	Landscapes & Seascapes	N/A
5824917011	Arts & Photography	History & Criticism	Themes	Plants & Animals	N/A
5824918011	Arts & Photography	History & Criticism	Themes	Portraits	N/A
1873	Arts & Photography	History & Criticism	Themes	Religious	N/A
11764635011	Arts & Photography	History & Criticism	Themes	Science Fiction & Fantasy	N/A
15762841	Arts & Photography	History & Criticism	Themes	Women in Art	N/A
1104	Arts & Photography	Individual Artists	N/A	N/A	N/A
8947733011	Arts & Photography	Individual Artists	Artists' Books	N/A	N/A
8947734011	Arts & Photography	Individual Artists	Essays	N/A	N/A
585494	Arts & Photography	Individual Artists	General	N/A	N/A
8947735011	Arts & Photography	Individual Artists	Monographs	N/A	N/A
4507	Arts & Photography	Music	N/A	N/A	N/A
2331	Arts & Photography	Music	Biographies	N/A	N/A
2332	Arts & Photography	Music	Biographies	Classical	N/A
2337	Arts & Photography	Music	Biographies	Country & Folk	N/A
8417570011	Arts & Photography	Music	Biographies	Country & Folk	Country
8417571011	Arts & Photography	Music	Biographies	Country & Folk	Folk
2338	Arts & Photography	Music	Biographies	General	N/A
9681285011	Arts & Photography	Music	Biographies	Heavy Metal	N/A
2339	Arts & Photography	Music	Biographies	Jazz	N/A
2340	Arts & Photography	Music	Biographies	Pop	N/A
9681286011	Arts & Photography	Music	Biographies	Punk	N/A
9681287011	Arts & Photography	Music	Biographies	Rap & Hip-Hop	N/A
2341	Arts & Photography	Music	Biographies	Rhythm & Blues	N/A
2342	Arts & Photography	Music	Biographies	Rock	N/A
4509	Arts & Photography	Music	Business	N/A	N/A
4510	Arts & Photography	Music	General	N/A	N/A
4511	Arts & Photography	Music	History & Criticism	N/A	N/A
1764	Arts & Photography	Music	Instruments	N/A	N/A
1765	Arts & Photography	Music	Instruments	Brass	N/A
8622772011	Arts & Photography	Music	Instruments	Brass	French Horns
8622773011	Arts & Photography	Music	Instruments	Brass	Trombones
8622774011	Arts & Photography	Music	Instruments	Brass	Trumpets & Cornets
8622775011	Arts & Photography	Music	Instruments	Brass	Trumpets & Cornets
8622776011	Arts & Photography	Music	Instruments	Brass	Trumpets & Cornets
1766	Arts & Photography	Music	Instruments	General	N/A
1767	Arts & Photography	Music	Instruments	Guitar	N/A
1768	Arts & Photography	Music	Instruments	Percussion	N/A
8622779011	Arts & Photography	Music	Instruments	Percussion	Drum Sets
8622780011	Arts & Photography	Music	Instruments	Percussion	Snare Drums
1769	Arts & Photography	Music	Instruments	Piano	N/A
1770	Arts & Photography	Music	Instruments	Strings	N/A
8622783011	Arts & Photography	Music	Instruments	Strings	Banjos
8622784011	Arts & Photography	Music	Instruments	Strings	Cellos
8622785011	Arts & Photography	Music	Instruments	Strings	Mandolins
8622786011	Arts & Photography	Music	Instruments	Strings	Ukuleles
8622787011	Arts & Photography	Music	Instruments	Strings	Violas
8622788011	Arts & Photography	Music	Instruments	Strings	Violins
1771	Arts & Photography	Music	Instruments	Voice	N/A
1772	Arts & Photography	Music	Instruments	Woodwinds	N/A
8622791011	Arts & Photography	Music	Instruments	Woodwinds	Bassoons
8622792011	Arts & Photography	Music	Instruments	Woodwinds	Clarinets
